"Time","superficie s11"
2023-07-21 09:00:00,
2023-07-21 10:00:00,
2023-07-21 11:00:00,
2023-07-21 12:00:00,
2023-07-21 13:00:00,
2023-07-21 14:00:00,
2023-07-21 15:00:00,
2023-07-21 16:00:00,
2023-07-21 17:00:00,
2023-07-21 18:00:00,
2023-07-21 19:00:00,
2023-07-21 20:00:00,
2023-07-21 21:00:00,
2023-07-21 22:00:00,
2023-07-21 23:00:00,
2023-07-22 00:00:00,
2023-07-22 01:00:00,
2023-07-22 02:00:00,
2023-07-22 03:00:00,
2023-07-22 04:00:00,
2023-07-22 05:00:00,
2023-07-22 06:00:00,
2023-07-22 07:00:00,
2023-07-22 08:00:00,
2023-07-22 09:00:00,
2023-07-22 10:00:00,
2023-07-22 11:00:00,
2023-07-22 12:00:00,
2023-07-22 13:00:00,
2023-07-22 14:00:00,
2023-07-22 15:00:00,39.88
2023-07-22 16:00:00,39.90
2023-07-22 17:00:00,39.77
2023-07-22 18:00:00,39.50
2023-07-22 19:00:00,39.16
2023-07-22 20:00:00,38.89
2023-07-22 21:00:00,38.69
2023-07-22 22:00:00,38.60
2023-07-22 23:00:00,38.82
2023-07-23 00:00:00,39.03
2023-07-23 01:00:00,38.63
2023-07-23 02:00:00,38.45
2023-07-23 03:00:00,38.50
2023-07-23 04:00:00,38.33
2023-07-23 05:00:00,38.27
2023-07-23 06:00:00,
2023-07-23 07:00:00,
2023-07-23 08:00:00,
2023-07-23 09:00:00,
2023-07-23 10:00:00,
2023-07-23 11:00:00,
2023-07-23 12:00:00,
2023-07-23 13:00:00,
2023-07-23 14:00:00,
2023-07-23 15:00:00,
2023-07-23 16:00:00,39.25
2023-07-23 17:00:00,39.39
2023-07-23 18:00:00,39.32
2023-07-23 19:00:00,38.85
2023-07-23 20:00:00,38.21
2023-07-23 21:00:00,38.27
2023-07-23 22:00:00,38.64
2023-07-23 23:00:00,39.22
2023-07-24 00:00:00,39.02
2023-07-24 01:00:00,38.85
2023-07-24 02:00:00,38.65
2023-07-24 03:00:00,39.04
2023-07-24 04:00:00,38.91
2023-07-24 05:00:00,38.99
2023-07-24 06:00:00,38.93
2023-07-24 07:00:00,38.77
2023-07-24 08:00:00,38.80
2023-07-24 09:00:00,38.88
2023-07-24 10:00:00,38.74
2023-07-24 11:00:00,38.76
2023-07-24 12:00:00,38.97
2023-07-24 13:00:00,38.71
2023-07-24 14:00:00,38.42
2023-07-24 15:00:00,38.43
2023-07-24 16:00:00,38.66
2023-07-24 17:00:00,38.95
2023-07-24 18:00:00,38.57
2023-07-24 19:00:00,38.15
2023-07-24 20:00:00,38.54
2023-07-24 21:00:00,39.11
2023-07-24 22:00:00,39.36
2023-07-24 23:00:00,39.64
2023-07-25 00:00:00,39.71
2023-07-25 01:00:00,39.53
2023-07-25 02:00:00,39.10
2023-07-25 03:00:00,38.84
2023-07-25 04:00:00,38.79
2023-07-25 05:00:00,38.70
2023-07-25 06:00:00,38.49
2023-07-25 07:00:00,38.39
2023-07-25 08:00:00,38.51
2023-07-25 09:00:00,38.77
2023-07-25 10:00:00,39.13
2023-07-25 11:00:00,39.20
2023-07-25 12:00:00,39.46
2023-07-25 13:00:00,39.63
2023-07-25 14:00:00,39.70
2023-07-25 15:00:00,39.72
2023-07-25 16:00:00,39.94
2023-07-25 17:00:00,40.09
2023-07-25 18:00:00,40.19
2023-07-25 19:00:00,40.42
2023-07-25 20:00:00,40.60
2023-07-25 21:00:00,40.75
2023-07-25 22:00:00,40.69
2023-07-25 23:00:00,40.58
2023-07-26 00:00:00,40.28
2023-07-26 01:00:00,40.01
2023-07-26 02:00:00,40.02
2023-07-26 03:00:00,40.02
2023-07-26 04:00:00,39.89
2023-07-26 05:00:00,39.89
2023-07-26 06:00:00,39.84
2023-07-26 07:00:00,39.76
2023-07-26 08:00:00,39.86
2023-07-26 09:00:00,39.99
2023-07-26 10:00:00,39.64
2023-07-26 11:00:00,39.42
2023-07-26 12:00:00,38.84
2023-07-26 13:00:00,37.71
2023-07-26 14:00:00,37.34
2023-07-26 15:00:00,37.55
2023-07-26 16:00:00,37.40
2023-07-26 17:00:00,37.43
2023-07-26 18:00:00,37.97
2023-07-26 19:00:00,37.27
2023-07-26 20:00:00,37.47
2023-07-26 21:00:00,37.36
2023-07-26 22:00:00,37.59
2023-07-26 23:00:00,37.84
2023-07-27 00:00:00,37.75
2023-07-27 01:00:00,37.63
2023-07-27 02:00:00,37.55
2023-07-27 03:00:00,37.93
2023-07-27 04:00:00,38.02
2023-07-27 05:00:00,38.02
2023-07-27 06:00:00,38.05
2023-07-27 07:00:00,37.95
2023-07-27 08:00:00,37.90
2023-07-27 09:00:00,37.93
2023-07-27 10:00:00,38.14
2023-07-27 11:00:00,38.30
2023-07-27 12:00:00,38.44
2023-07-27 13:00:00,38.58
2023-07-27 14:00:00,38.86
2023-07-27 15:00:00,39.14
2023-07-27 16:00:00,39.59
2023-07-27 17:00:00,39.68
2023-07-27 18:00:00,39.65
2023-07-27 19:00:00,39.61
2023-07-27 20:00:00,39.33
2023-07-27 21:00:00,38.41
2023-07-27 22:00:00,37.94
2023-07-27 23:00:00,37.88
2023-07-28 00:00:00,38.22
2023-07-28 01:00:00,38.30
2023-07-28 02:00:00,38.61
2023-07-28 03:00:00,38.32
2023-07-28 04:00:00,38.09
2023-07-28 05:00:00,38.05
2023-07-28 06:00:00,37.95
2023-07-28 07:00:00,37.94
2023-07-28 08:00:00,38.08
2023-07-28 09:00:00,38.49
2023-07-28 10:00:00,38.69
2023-07-28 11:00:00,38.99
2023-07-28 12:00:00,39.29
2023-07-28 13:00:00,39.42
2023-07-28 14:00:00,39.53
2023-07-28 15:00:00,39.77
2023-07-28 16:00:00,39.76
2023-07-28 17:00:00,39.65
2023-07-28 18:00:00,39.54
2023-07-28 19:00:00,39.39
2023-07-28 20:00:00,39.25
2023-07-28 21:00:00,39.28
2023-07-28 22:00:00,39.49
2023-07-28 23:00:00,39.69
2023-07-29 00:00:00,39.82
2023-07-29 01:00:00,39.71
2023-07-29 02:00:00,39.40
2023-07-29 03:00:00,39.11
2023-07-29 04:00:00,38.93
2023-07-29 05:00:00,38.78
2023-07-29 06:00:00,38.68
2023-07-29 07:00:00,38.91
2023-07-29 08:00:00,38.96
2023-07-29 09:00:00,39.00
2023-07-29 10:00:00,39.10
2023-07-29 11:00:00,39.20
2023-07-29 12:00:00,39.27
2023-07-29 13:00:00,39.49
2023-07-29 14:00:00,39.68
2023-07-29 15:00:00,39.86
2023-07-29 16:00:00,39.79
2023-07-29 17:00:00,39.96
2023-07-29 18:00:00,40.03
2023-07-29 19:00:00,39.55
2023-07-29 20:00:00,39.18
2023-07-29 21:00:00,39.05
2023-07-29 22:00:00,38.93
2023-07-29 23:00:00,39.20
2023-07-30 00:00:00,39.32
2023-07-30 01:00:00,39.16
2023-07-30 02:00:00,39.00
2023-07-30 03:00:00,38.84
2023-07-30 04:00:00,38.75
2023-07-30 05:00:00,38.71
2023-07-30 06:00:00,38.94
