"Time","superficie"
2023-06-20 05:00:00,29.41
2023-06-20 05:20:00,29.31
2023-06-20 05:40:00,29.28
2023-06-20 06:00:00,29.28
2023-06-20 06:20:00,29.28
2023-06-20 06:40:00,29.28
2023-06-20 07:00:00,29.16
2023-06-20 07:20:00,29.22
2023-06-20 07:40:00,29.19
2023-06-20 08:00:00,29.09
2023-06-20 08:20:00,29.13
2023-06-20 08:40:00,29.22
2023-06-20 09:00:00,29.28
2023-06-20 09:20:00,29.31
2023-06-20 09:40:00,29.19
2023-06-20 10:00:00,29.16
2023-06-20 10:20:00,29.16
2023-06-20 10:40:00,29.22
2023-06-20 11:00:00,29.31
2023-06-20 11:20:00,29.41
2023-06-20 11:40:00,29.50
2023-06-20 12:00:00,29.63
2023-06-20 12:20:00,29.72
2023-06-20 12:40:00,29.78
2023-06-20 13:00:00,29.91
2023-06-20 13:20:00,30.03
2023-06-20 13:40:00,30.16
2023-06-20 14:00:00,30.25
2023-06-20 14:20:00,30.34
2023-06-20 14:40:00,30.47
2023-06-20 15:00:00,30.53
2023-06-20 15:20:00,30.59
2023-06-20 15:40:00,30.69
2023-06-20 16:00:00,30.69
2023-06-20 16:20:00,30.81
2023-06-20 16:40:00,30.91
2023-06-20 17:00:00,31.00
2023-06-20 17:20:00,31.06
2023-06-20 17:40:00,31.13
2023-06-20 18:00:00,31.13
2023-06-20 18:20:00,31.16
2023-06-20 18:40:00,31.16
2023-06-20 19:00:00,31.16
2023-06-20 19:20:00,31.09
2023-06-20 19:40:00,31.03
2023-06-20 20:00:00,31.00
2023-06-20 20:20:00,30.97
2023-06-20 20:40:00,30.88
2023-06-20 21:00:00,30.81
2023-06-20 21:20:00,30.75
2023-06-20 21:40:00,30.75
2023-06-20 22:00:00,30.69
2023-06-20 22:20:00,30.63
2023-06-20 22:40:00,30.56
2023-06-20 23:00:00,30.53
2023-06-20 23:20:00,30.47
2023-06-20 23:40:00,30.44
2023-06-21 00:00:00,30.41
2023-06-21 00:20:00,30.38
2023-06-21 00:40:00,30.34
2023-06-21 01:00:00,30.31
2023-06-21 01:20:00,30.31
2023-06-21 01:40:00,30.25
2023-06-21 02:00:00,30.25
2023-06-21 02:20:00,30.22
2023-06-21 02:40:00,30.19
2023-06-21 03:00:00,30.16
2023-06-21 03:20:00,30.13
2023-06-21 03:40:00,30.06
2023-06-21 04:00:00,30.03
2023-06-21 04:20:00,30.00
2023-06-21 04:40:00,29.97
2023-06-21 05:00:00,29.94
2023-06-21 05:20:00,29.88
2023-06-21 05:40:00,29.84
2023-06-21 06:00:00,29.81
2023-06-21 06:20:00,29.81
2023-06-21 06:40:00,29.81
