"Time","fondo s2"
2023-01-11 23:00:00,15.90
2023-01-11 23:30:00,15.81
2023-01-12 00:00:00,15.81
2023-01-12 00:30:00,15.77
2023-01-12 01:00:00,15.75
2023-01-12 01:30:00,15.73
2023-01-12 02:00:00,15.69
2023-01-12 02:30:00,15.69
2023-01-12 03:00:00,15.63
2023-01-12 03:30:00,15.58
2023-01-12 04:00:00,15.56
2023-01-12 04:30:00,15.56
2023-01-12 05:00:00,15.56
2023-01-12 05:30:00,15.54
2023-01-12 06:00:00,15.50
2023-01-12 06:30:00,15.46
2023-01-12 07:00:00,15.44
2023-01-12 07:30:00,15.40
2023-01-12 08:00:00,15.38
2023-01-12 08:30:00,15.19
2023-01-12 09:00:00,15.23
2023-01-12 09:30:00,15.29
2023-01-12 10:00:00,15.33
2023-01-12 10:30:00,15.35
2023-01-12 11:00:00,15.46
2023-01-12 11:30:00,15.54
2023-01-12 12:00:00,15.65
2023-01-12 12:30:00,15.75
2023-01-12 13:00:00,15.83
2023-01-12 13:30:00,15.92
2023-01-12 14:00:00,15.98
2023-01-12 14:30:00,16.06
2023-01-12 15:00:00,16.08
2023-01-12 15:30:00,16.06
2023-01-12 16:00:00,16.10
2023-01-12 16:30:00,16.15
2023-01-12 17:00:00,16.25
2023-01-12 17:30:00,16.29
2023-01-12 18:00:00,16.33
2023-01-12 18:30:00,16.38
2023-01-12 19:00:00,16.38
2023-01-12 19:30:00,16.38
2023-01-12 20:00:00,16.38
2023-01-12 20:30:00,16.38
2023-01-12 21:00:00,16.38
2023-01-12 21:30:00,16.38
2023-01-12 22:00:00,16.38
2023-01-12 22:30:00,16.38
2023-01-12 23:00:00,16.38
2023-01-12 23:30:00,16.40
2023-01-13 00:00:00,16.42
2023-01-13 00:30:00,16.42
2023-01-13 01:00:00,16.40
2023-01-13 01:30:00,16.44
2023-01-13 02:00:00,16.44
2023-01-13 02:30:00,16.44
2023-01-13 03:00:00,16.44
2023-01-13 03:30:00,16.44
2023-01-13 04:00:00,16.44
2023-01-13 04:30:00,16.33
2023-01-13 05:00:00,16.27
2023-01-13 05:30:00,16.02
2023-01-13 06:00:00,15.75
2023-01-13 06:30:00,15.67
2023-01-13 07:00:00,15.63
2023-01-13 07:30:00,15.58
2023-01-13 08:00:00,15.75
2023-01-13 08:30:00,15.81
2023-01-13 09:00:00,15.85
2023-01-13 09:30:00,15.92
2023-01-13 10:00:00,15.75
2023-01-13 10:30:00,15.69
2023-01-13 11:00:00,15.63
2023-01-13 11:30:00,15.73
2023-01-13 12:00:00,15.58
2023-01-13 12:30:00,15.60
2023-01-13 13:00:00,15.73
2023-01-13 13:30:00,15.83
2023-01-13 14:00:00,15.94
2023-01-13 14:30:00,16.03
2023-01-13 15:00:00,16.17
2023-01-13 15:30:00,16.13
2023-01-13 16:00:00,16.08
2023-01-13 16:30:00,16.13
2023-01-13 17:00:00,16.10
2023-01-13 17:30:00,16.06
2023-01-13 18:00:00,16.04
2023-01-13 18:30:00,16.00
2023-01-13 19:00:00,16.00
2023-01-13 19:30:00,15.96
2023-01-13 20:00:00,15.92
2023-01-13 20:30:00,15.88
2023-01-13 21:00:00,15.88
2023-01-13 21:30:00,15.83
2023-01-13 22:00:00,15.81
2023-01-13 22:30:00,15.79
2023-01-13 23:00:00,15.75
2023-01-13 23:30:00,15.73
2023-01-14 00:00:00,15.73
2023-01-14 00:30:00,15.73
2023-01-14 01:00:00,15.63
2023-01-14 01:30:00,15.54
2023-01-14 02:00:00,15.50
2023-01-14 02:30:00,15.46
2023-01-14 03:00:00,15.42
2023-01-14 03:30:00,15.40
2023-01-14 04:00:00,15.35
2023-01-14 04:30:00,15.31
2023-01-14 05:00:00,15.29
2023-01-14 05:30:00,15.27
2023-01-14 06:00:00,15.23
2023-01-14 06:30:00,15.19
2023-01-14 07:00:00,15.19
2023-01-14 07:30:00,15.13
2023-01-14 08:00:00,15.13
2023-01-14 08:30:00,15.06
2023-01-14 09:00:00,15.02
2023-01-14 09:30:00,15.04
2023-01-14 10:00:00,15.06
2023-01-14 10:30:00,15.10
2023-01-14 11:00:00,15.15
2023-01-14 11:30:00,15.27
2023-01-14 12:00:00,15.29
2023-01-14 12:30:00,15.40
2023-01-14 13:00:00,15.48
2023-01-14 13:30:00,15.56
2023-01-14 14:00:00,15.63
2023-01-14 14:30:00,15.69
2023-01-14 15:00:00,15.75
2023-01-14 15:30:00,15.79
2023-01-14 16:00:00,15.85
2023-01-14 16:30:00,15.92
2023-01-14 17:00:00,15.90
2023-01-14 17:30:00,15.85
2023-01-14 18:00:00,15.81
2023-01-14 18:30:00,15.77
2023-01-14 19:00:00,15.75
2023-01-14 19:30:00,15.71
2023-01-14 20:00:00,15.67
2023-01-14 20:30:00,15.63
2023-01-14 21:00:00,15.58
2023-01-14 21:30:00,15.56
2023-01-14 22:00:00,15.50
2023-01-14 22:30:00,15.52
2023-01-14 23:00:00,15.46
2023-01-14 23:30:00,15.40
2023-01-15 00:00:00,15.38
2023-01-15 00:30:00,15.38
2023-01-15 01:00:00,15.31
2023-01-15 01:30:00,15.29
2023-01-15 02:00:00,15.25
2023-01-15 02:30:00,15.25
2023-01-15 03:00:00,15.21
2023-01-15 03:30:00,15.17
2023-01-15 04:00:00,15.13
2023-01-15 04:30:00,15.06
2023-01-15 05:00:00,15.02
2023-01-15 05:30:00,15.00
2023-01-15 06:00:00,14.98
2023-01-15 06:30:00,14.94
2023-01-15 07:00:00,14.94
2023-01-15 07:30:00,14.90
2023-01-15 08:00:00,14.88
2023-01-15 08:30:00,14.81
2023-01-15 09:00:00,14.79
2023-01-15 09:30:00,14.81
2023-01-15 10:00:00,14.81
2023-01-15 10:30:00,14.88
2023-01-15 11:00:00,14.94
2023-01-15 11:30:00,15.02
2023-01-15 12:00:00,15.08
2023-01-15 12:30:00,15.19
2023-01-15 13:00:00,15.27
2023-01-15 13:30:00,15.40
2023-01-15 14:00:00,15.52
2023-01-15 14:30:00,15.67
2023-01-15 15:00:00,15.72
2023-01-15 15:30:00,15.81
2023-01-15 16:00:00,15.77
2023-01-15 16:30:00,15.79
2023-01-15 17:00:00,15.75
2023-01-15 17:30:00,15.75
2023-01-15 18:00:00,15.73
2023-01-15 18:30:00,15.69
2023-01-15 19:00:00,15.69
2023-01-15 19:30:00,15.73
2023-01-15 20:00:00,15.69
2023-01-15 20:30:00,15.60
2023-01-15 21:00:00,15.50
2023-01-15 21:30:00,15.50
2023-01-15 22:00:00,15.65
2023-01-15 22:30:00,15.58
2023-01-15 23:00:00,15.50
2023-01-15 23:30:00,15.33
2023-01-16 00:00:00,15.29
2023-01-16 00:30:00,15.25
2023-01-16 01:00:00,15.19
2023-01-16 01:30:00,15.17
2023-01-16 02:00:00,15.10
2023-01-16 02:30:00,15.06
2023-01-16 03:00:00,15.06
2023-01-16 03:30:00,15.00
2023-01-16 04:00:00,15.00
2023-01-16 04:30:00,14.98
2023-01-16 05:00:00,14.94
2023-01-16 05:30:00,14.88
2023-01-16 06:00:00,14.83
2023-01-16 06:30:00,14.81
2023-01-16 07:00:00,14.75
2023-01-16 07:30:00,14.75
2023-01-16 08:00:00,14.75
2023-01-16 08:30:00,14.63
2023-01-16 09:00:00,14.58
2023-01-16 09:30:00,14.56
2023-01-16 10:00:00,14.50
2023-01-16 10:30:00,14.50
2023-01-16 11:00:00,14.54
2023-01-16 11:30:00,14.63
2023-01-16 12:00:00,14.63
2023-01-16 12:30:00,14.69
2023-01-16 13:00:00,14.77
2023-01-16 13:30:00,14.83
2023-01-16 14:00:00,14.92
2023-01-16 14:30:00,14.98
2023-01-16 15:00:00,15.00
2023-01-16 15:30:00,15.13
2023-01-16 16:00:00,15.06
2023-01-16 16:30:00,15.06
2023-01-16 17:00:00,15.06
2023-01-16 17:30:00,15.00
2023-01-16 18:00:00,15.00
2023-01-16 18:30:00,15.00
2023-01-16 19:00:00,14.98
2023-01-16 19:30:00,14.90
2023-01-16 20:00:00,14.85
2023-01-16 20:30:00,14.81
2023-01-16 21:00:00,14.77
2023-01-16 21:30:00,14.75
2023-01-16 22:00:00,14.81
2023-01-16 22:30:00,14.92
2023-01-16 23:00:00,14.94
2023-01-16 23:30:00,14.88
2023-01-17 00:00:00,14.69
2023-01-17 00:30:00,14.75
2023-01-17 01:00:00,14.58
2023-01-17 01:30:00,14.73
2023-01-17 02:00:00,14.67
2023-01-17 02:30:00,14.81
2023-01-17 03:00:00,14.94
2023-01-17 03:30:00,14.69
2023-01-17 04:00:00,14.46
2023-01-17 04:30:00,14.40
2023-01-17 05:00:00,14.40
2023-01-17 05:30:00,14.52
2023-01-17 06:00:00,14.50
2023-01-17 06:30:00,14.38
2023-01-17 07:00:00,14.60
2023-01-17 07:30:00,14.69
2023-01-17 08:00:00,14.10
2023-01-17 08:30:00,14.17
2023-01-17 09:00:00,14.17
2023-01-17 09:30:00,14.56
2023-01-17 10:00:00,14.73
2023-01-17 10:30:00,14.78
2023-01-17 11:00:00,14.63
2023-01-17 11:30:00,14.40
2023-01-17 12:00:00,14.63
2023-01-17 12:30:00,14.75
2023-01-17 13:00:00,14.81
2023-01-17 13:30:00,14.85
2023-01-17 14:00:00,14.94
2023-01-17 14:30:00,14.98
2023-01-17 15:00:00,15.03
2023-01-17 15:30:00,15.06
2023-01-17 16:00:00,15.10
2023-01-17 16:30:00,15.13
2023-01-17 17:00:00,15.13
2023-01-17 17:30:00,15.06
2023-01-17 18:00:00,15.00
2023-01-17 18:30:00,14.96
2023-01-17 19:00:00,14.92
2023-01-17 19:30:00,14.98
2023-01-17 20:00:00,15.25
2023-01-17 20:30:00,15.38
2023-01-17 21:00:00,15.33
2023-01-17 21:30:00,14.98
2023-01-17 22:00:00,14.88
